Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Tax
3.9,Very Good,4187,5,Ulsoor,MG Road,2150,2254
4,Very Good,2201,4,Brookefield,MG Road,2150,531
4.4,Excellent,1315,5,Vasanth Nagar,Bangalore Palace,2400,767.53125
4,Very Good,5089,5,Sivanchetti Gardens,Ulsoor Lake,770,918
4,Very Good,3290,4,Hosur road,MG Road,2150,1014
3.8,Very Good,4764,5,Ashok Nagar,MG Road,2400,1540
4.3,Excellent,2372,5,Palace road,MG Road,2150,767.53125
4.1,Very Good,2314,4,Electronic City,MG Road,2150,1016
4.3,Excellent,2076,5,Richmond road,MG Road,2150,767.53125
4.3,Excellent,426,5,Koramangala,MG Road,2150,767.53125
3.7,Very Good,1602,3,Tumkur road,MG Road,2150,480
4.2,Very Good,500,4,Gandhi Nagar,MG Road,2150,269
4,Very Good,2156,5,Gandhi Nagar,MG Road,2150,767.53125
4,Very Good,2944,5,Vasanth Nagar,Bangalore Palace,2900,767.53125
4.2,Very Good,1162,5,Ulsoor,MG Road,2150,767.53125
3.9,Very Good,1805,4,Sampangi Rama Nagar,Cubbon Park,1800,767.53125
4,Very Good,1618,4,Tumkur road,MG Road,2150,831
3.7,Very Good,664,3,Infantry Road,MG Road,2300,564
4.3,Excellent,1865,4,Koramangala,MG Road,2150,1026
4.6,Excellent,1715,5,Sivanchetti Gardens,MG Road,2900,767.53125
4.4,Excellent,222,4,Koramangala,MG Road,2150,294
3.8,Very Good,2542,5,Seshadripuram,MG Road,2150,1354
4.3,Excellent,1022,5,Residency Road,MG Road,1500,767.53125
4.1,Very Good,237,4,Hebbal,MG Road,2150,767.53125
4.2,Very Good,1791,5,Gandhi Nagar,MG Road,2150,2156
4.1,Very Good,1869,5,Cunningham Road,Indira Gandhi Musical Fountain Park,780,1075
3.9,Very Good,527,4,Outer Ring Road,MG Road,2150,977
4.6,Excellent,2138,5,Tumkur road,MG Road,2150,767.53125
4.1,Very Good,2327,4,Brookefield,MG Road,2150,843
3.8,Very Good,865,4,Richmond road,MG Road,3000,754
4.4,Excellent,4271,4,Domlur Layout,MG Road,2150,1140
3.9,Very Good,1381,3,Hosur road,MG Road,2150,767.53125
4.7,Excellent,1565,5,Ulsoor,MG Road,2150,767.53125
3.5,Very Good,1242,3,Whitefield,MG Road,2150,767.53125
4.038,Very Good,984.5,4,Ashok Nagar,MG Road,2200,315
3.6,Very Good,1639,3,Domlur Layout,MG Road,2150,767.53125
4.1,Very Good,1537,5,Mathikere,MG Road,2150,1295
4.4,Excellent,191,3,Near Bangalore Airport,Kempegowda Airport,7700,767.53125
3.8,Very Good,686,3,Sampangi Rama Nagar,Cubbon Park,2100,564
4.4,Excellent,20,4,Koramangala,MG Road,2150,806
3.7,Very Good,1750,3,Majestic,MG Road,2150,638
4.6,Excellent,1172,5,Near Bangalore Airport,Kempegowda Airport,900,767.53125
4.5,Excellent,1283,4,Ulsoor,MG Road,2150,767.53125
3.8,Very Good,1526,4,Richmond road,Cubbon Park,2600,552
4.1,Very Good,643,4,Electronic City,MG Road,2150,767.53125
3.9,Very Good,1320,4,Ashok Nagar,MG Road,910,872
3.7,Very Good,3836,4,Ulsoor,MG Road,2300,699
4.1,Very Good,963,4,Near Bangalore Airport,Kempegowda Airport,8200,604
4.2,Very Good,151,4,Koramangala,MG Road,2150,624
4.7,Excellent,100,5,In Devanhalli,Bangalore city centre,52000,767.53125
4,Very Good,838,3,Koramangala,MG Road,2150,752
3.9,Very Good,762,5,Infantry Road,MG Road,1900,1021
3.9,Very Good,2155,4,Ashok Nagar,MG Road,980,990
3.1,Good,321,4,Electronic City,MG Road,2150,268
4.2,Very Good,1159,5,Outer Ring Road,MG Road,2150,767.53125
3.7,Very Good,1198,3,Brookefield,MG Road,2150,767.53125
3.9,Very Good,2185,5,Domlur Layout,MG Road,2150,872
4.3,Excellent,13,4,Koramangala,MG Road,2150,294
3.4,Good,695,4,Hosur road,MG Road,2150,418
3.8,Very Good,1928,4,Hebbal,MG Road,2150,767.53125
4,Very Good,2624,3,Gandhi Nagar,MG Road,2150,333
4.7,Excellent,62,4,Bannerghatta Main road,MG Road,2150,1350
4.5,Excellent,1389,5,Ashok Nagar,MG Road,2100,767.53125
4,Very Good,1189,3,Brookefield,MG Road,2150,564
3.9,Very Good,775,4,Infantry Road,MG Road,1600,752
3.9,Very Good,875,3,Residency Road,MG Road,2300,836
4.2,Very Good,142,4,Indiranagar,MG Road,2150,325
3.8,Very Good,1876,4,Gandhi Nagar,MG Road,2150,767.53125
4.2,Very Good,438,3,Near Bangalore Airport,Kempegowda Airport,8000,421
3.4,Good,91,4,Outer Ring Road,MG Road,2150,539
3.3,Good,627,4,Electronic City,MG Road,2150,642
3.9,Very Good,1341,4,Whitefield,MG Road,2150,306
4.1,Very Good,1016,4,Residency Road,MG Road,2100,1247
4.2,Very Good,47,3,Near Bangalore Airport,Kempegowda Airport,5000,360
3.8,Very Good,613,4,Koramangala,MG Road,2150,755
4.5,Excellent,584,5,Palace road,Bangalore Palace,1900,767.53125
4.6,Excellent,213,5,Tirumanahalli,MG Road,2150,767.53125
4.1,Very Good,526,4,Whitefield,MG Road,2150,767.53125
3.9,Very Good,883,4,Rajajinagar,MG Road,2150,767.53125
4.3,Excellent,662,5,Whitefield,MG Road,2150,780
4.1,Very Good,79,3,Marathahalli,MG Road,2150,660
3.5,Very Good,923,4,Shivaji Nagar,MG Road,2200,342
3.6,Very Good,1024,3,HAL old airport road,MG Road,2150,465
4.1,Very Good,732,5,HAL old airport road,MG Road,2150,1368
4.3,Excellent,36,3,Hosur road,MG Road,2150,767.53125
4.5,Excellent,1048,5,HAL old airport road,MG Road,2150,767.53125
3.8,Very Good,319,4,Infantry Road,MG Road,1400,554
3.9,Very Good,24,3,HSR Layout,MG Road,2150,767.53125
3.7,Very Good,1552,3,Koramangala,MG Road,2150,752
3.5,Very Good,468,3,Hebbal,MG Road,2150,693
4.3,Excellent,285,4,Bilekahalli,MG Road,2150,642
4.3,Excellent,849,5,Outer Ring Road,MG Road,2150,767.53125
4.1,Very Good,874,3,Indiranagar,MG Road,2150,767.53125
4.2,Very Good,875,4,Yeshwanthpur,MG Road,2150,741
4.8,Excellent,302,5,Ganganagar,Palace Grounds,990,767.53125
3,Good,348,3,Hosur road,MG Road,2150,396
3.6,Very Good,139,4,Outer Ring Road,MG Road,2150,804
4.3,Excellent,959,5,Whitefield,MG Road,2150,767.53125
4.1,Very Good,1006,4,Richmond road,Cubbon Park,2500,969
3.5,Very Good,712,3,Church Street,MG Road,94,337
4,Very Good,221,3,Infantry Road,MG Road,1800,569
