,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
0,3.9,Very Good,4187.0,5.0,Ulsoor,MG Road,2150.0,7567,2254.0
1,4.0,Very Good,2201.0,4.0,Brookefield,MG Road,2150.0,1509,531.0
2,4.4,Excellent,1315.0,5.0,Vasanth Nagar,Bangalore Palace,2400.0,9900,767.53125
3,4.0,Very Good,5089.0,5.0,Sivanchetti Gardens,Ulsoor Lake,770.0,2347,918.0
4,4.0,Very Good,3290.0,4.0,Hosur road,MG Road,2150.0,2522,1014.0
5,3.8,Very Good,4764.0,5.0,Ashok Nagar,MG Road,2400.0,6580,1540.0
6,4.3,Excellent,2372.0,5.0,Palace road,MG Road,2150.0,10200,767.53125
7,4.1,Very Good,2314.0,4.0,Electronic City,MG Road,2150.0,2598,1016.0
8,4.3,Excellent,2076.0,5.0,Richmond road,MG Road,2150.0,7700,767.53125
9,4.3,Excellent,426.0,5.0,Koramangala,MG Road,2150.0,9700,767.53125
10,3.7,Very Good,1602.0,3.0,Tumkur road,MG Road,2150.0,3680,480.0
11,4.2,Very Good,500.0,4.0,Gandhi Nagar,MG Road,2150.0,1098,269.0
12,4.0,Very Good,2156.0,5.0,Gandhi Nagar,MG Road,2150.0,7249,767.53125
13,4.0,Very Good,2944.0,5.0,Vasanth Nagar,Bangalore Palace,2900.0,5999,767.53125
14,4.2,Very Good,1162.0,5.0,Ulsoor,MG Road,2150.0,6250,767.53125
15,3.9,Very Good,1805.0,4.0,Sampangi Rama Nagar,Cubbon Park,1800.0,4299,767.53125
16,4.0,Very Good,1618.0,4.0,Tumkur road,MG Road,2150.0,4112,831.0
17,3.7,Very Good,664.0,3.0,Infantry Road,MG Road,2300.0,2792,564.0
18,4.3,Excellent,1865.0,4.0,Koramangala,MG Road,2150.0,5076,1026.0
19,4.6,Excellent,1715.0,5.0,Sivanchetti Gardens,MG Road,2900.0,9000,767.53125
20,4.4,Excellent,222.0,4.0,Koramangala,MG Road,2150.0,1113,294.0
21,3.8,Very Good,2542.0,5.0,Seshadripuram,MG Road,2150.0,6698,1354.0
22,4.3,Excellent,1022.0,5.0,Residency Road,MG Road,1500.0,7000,767.53125
23,4.1,Very Good,237.0,4.0,Hebbal,MG Road,2150.0,4499,767.53125
24,4.2,Very Good,1791.0,5.0,Gandhi Nagar,MG Road,2150.0,6547,2156.0
25,4.1,Very Good,1869.0,5.0,Cunningham Road,Indira Gandhi Musical Fountain Park,780.0,3934,1075.0
26,3.9,Very Good,527.0,4.0,Outer Ring Road,MG Road,2150.0,3575,977.0
27,4.6,Excellent,2138.0,5.0,Tumkur road,MG Road,2150.0,7500,767.53125
28,4.1,Very Good,2327.0,4.0,Brookefield,MG Road,2150.0,2347,843.0
29,3.8,Very Good,865.0,4.0,Richmond road,MG Road,3000.0,2660,754.0
30,4.4,Excellent,4271.0,4.0,Domlur Layout,MG Road,2150.0,5640,1140.0
31,3.9,Very Good,1381.0,3.0,Hosur road,MG Road,2150.0,4499,767.53125
32,4.7,Excellent,1565.0,5.0,Ulsoor,MG Road,2150.0,11500,767.53125
33,3.5,Very Good,1242.0,3.0,Whitefield,MG Road,2150.0,3399,767.53125
34,4.038,Very Good,984.5,4.0,Ashok Nagar,MG Road,2200.0,1330,315.0
35,3.6,Very Good,1639.0,3.0,Domlur Layout,MG Road,2150.0,1689,767.53125
36,4.1,Very Good,1537.0,5.0,Mathikere,MG Road,2150.0,6409,1295.0
37,4.4,Excellent,191.0,3.0,Near Bangalore Airport,Kempegowda Airport,7700.0,4000,767.53125
38,3.8,Very Good,686.0,3.0,Sampangi Rama Nagar,Cubbon Park,2100.0,2792,564.0
